,employed people with 16 yrs and over,unemployed people with 16 yrs and over,people in the labor force,unemployment rate,people with private health insurance,people with public health insurance,people without health insurance,people with a disability,male,female,people that are older than 65,median household income,median age
"Ellis County, Texas: Summary level: 050, state:48> county:139",85372,3007,88379,3.4,120367,42625,25985,20360.0,85705,88067,21930,76871,36.2
"Lee County, Texas: Summary level: 050, state:48> county:287",8153,210,8363,2.5,11074,5286,2616,2162.0,8530,8528,3214,54744,41.1
"Tarrant County, Texas: Summary level: 050, state:48> county:439",1017012,50049,1067061,4.7,1329442,529746,326577,208695.0,1002709,1047061,225738,67700,34.4
"Anderson County, Texas: Summary level: 050, state:48> county:001",19213,641,19854,3.2,27753,15769,6416,6583.0,35201,22609,8278,43455,39.3
"Jackson County, Texas: Summary level: 050, state:48> county:239",6602,230,6832,3.4,9439,4749,2300,2598.0,7316,7500,2577,62806,37.7
"Kerr County, Texas: Summary level: 050, state:48> county:265",22320,1228,23548,5.2,31548,21930,8212,9111.0,25027,26816,14024,55990,47.4
"Milam County, Texas: Summary level: 050, state:48> county:331",9788,488,10276,4.7,14597,10071,3264,4067.0,12270,12500,5038,47902,41.7
"Comanche County, Texas: Summary level: 050, state:48> county:093",5975,216,6191,3.5,8878,4934,1885,2544.0,6798,6731,3247,53516,44.8
"Falls County, Texas: Summary level: 050, state:48> county:145",5997,310,6307,4.9,8421,6588,2674,3480.0,8127,9145,3095,39497,39.0
"Brooks County, Texas: Summary level: 050, state:48> county:047",2569,327,2896,11.3,2727,3213,1482,1244.0,3807,3334,1041,28333,29.7
"Austin County, Texas: Summary level: 050, state:48> county:015",13498,820,14318,5.7,19764,9159,4091,4006.0,14682,15082,5577,66206,40.7
"Kenedy County, Texas: Summary level: 050, state:48> county:261",211,0,211,0.0,158,281,147,112.0,280,288,144,38021,39.7
"Colorado County, Texas: Summary level: 050, state:48> county:089",9553,342,9895,3.5,13609,7075,3128,2708.0,10590,10634,4594,52559,42.9
"San Patricio County, Texas: Summary level: 050, state:48> county:409",28539,1536,30075,5.1,38635,22320,11126,10448.0,33774,33234,9790,56556,35.5
"Randall County, Texas: Summary level: 050, state:48> county:381",70231,2510,72741,3.5,101967,35355,12626,15506.0,65721,68305,19659,68261,35.9
"San Saba County, Texas: Summary level: 050, state:48> county:411",2538,50,2588,1.9,3112,2216,993,912.0,3077,2914,1382,45083,42.4
"Schleicher County, Texas: Summary level: 050, state:48> county:413",1327,163,1490,10.9,1954,747,644,333.0,1505,1478,560,53229,36.2
"Zavala County, Texas: Summary level: 050, state:48> county:507",4285,408,4693,8.7,4576,6153,1905,2491.0,6221,5818,1665,34459,32.9
"Calhoun County, Texas: Summary level: 050, state:48> county:057",9625,563,10188,5.5,12553,7169,4094,3979.0,11082,10586,3769,58776,37.7
"Foard County, Texas: Summary level: 050, state:48> county:155",570,58,628,9.2,724,524,182,249.0,632,643,345,43625,51.2
"Goliad County, Texas: Summary level: 050, state:48> county:175",3104,162,3266,5.0,4970,2751,726,1144.0,3756,3809,1664,60690,46.1
"Hamilton County, Texas: Summary level: 050, state:48> county:193",3409,71,3480,2.0,4881,3307,1329,1737.0,4164,4168,2042,50825,45.8
"Mitchell County, Texas: Summary level: 050, state:48> county:335",2795,140,2935,4.8,4025,2200,1175,1114.0,5179,3344,1316,51492,33.9
"Titus County, Texas: Summary level: 050, state:48> county:449",14466,769,15235,5.0,18491,11184,5866,4203.0,16066,16574,4561,50196,34.1
"Lavaca County, Texas: Summary level: 050, state:48> county:285",9119,299,9418,3.2,14146,6411,1982,3148.0,9697,10324,4662,54403,43.4
"Terry County, Texas: Summary level: 050, state:48> county:445",4849,493,5342,9.2,5348,4559,2667,1826.0,6420,6108,1889,44627,34.6
"Wise County, Texas: Summary level: 050, state:48> county:497",30152,1374,31526,4.4,42332,18684,11710,11081.0,33406,32884,9851,64536,38.3
"Matagorda County, Texas: Summary level: 050, state:48> county:321",15607,957,16564,5.8,20670,12894,6512,5431.0,18349,18425,6008,48913,38.2
"Pecos County, Texas: Summary level: 050, state:48> county:371",6122,153,6275,2.4,8386,4250,2450,1383.0,8966,6849,2012,52397,35.9
"Rockwall County, Texas: Summary level: 050, state:48> county:397",48291,1939,50230,3.9,76442,17988,11106,7671.0,47995,49180,11754,100920,37.5
"Taylor County, Texas: Summary level: 050, state:48> county:441",63441,2207,65648,3.4,87190,41465,18322,19824.0,66757,70113,19482,53143,32.5
"Throckmorton County, Texas: Summary level: 050, state:48> county:447",684,34,718,4.7,849,588,228,329.0,658,778,402,40000,52.3
"Walker County, Texas: Summary level: 050, state:48> county:471",26268,904,27172,3.3,42750,14927,7743,4824.0,42217,30104,9187,43742,35.3
"Wood County, Texas: Summary level: 050, state:48> county:499",16364,960,17324,5.5,26930,19214,5697,9197.0,22059,22307,11858,53394,47.9
"Aransas County, Texas: Summary level: 050, state:48> county:007",9814,792,10606,7.5,13523,10740,4807,4794.0,11904,12558,6711,45137,50.6
"Cochran County, Texas: Summary level: 050, state:48> county:079",1208,107,1315,8.1,1233,1019,783,457.0,1495,1392,455,40962,35.1
"Coke County, Texas: Summary level: 050, state:48> county:081",1448,43,1491,2.9,2024,1247,475,557.0,1647,1656,941,45000,48.1
"Coryell County, Texas: Summary level: 050, state:48> county:099",24032,2092,26124,8.0,42285,19321,6220,10424.0,37556,37724,7404,52893,31.8
"Hemphill County, Texas: Summary level: 050, state:48> county:211",1842,98,1940,5.1,2545,951,940,508.0,2032,1962,527,70625,36.4
"Moore County, Texas: Summary level: 050, state:48> county:341",9903,523,10426,5.0,14424,5031,3665,2088.0,11218,10181,2283,54871,30.8
"Potter County, Texas: Summary level: 050, state:48> county:375",51766,1848,53614,3.4,61110,36276,24952,13136.0,61773,57901,14583,42528,33.9
"San Augustine County, Texas: Summary level: 050, state:48> county:405",2799,215,3014,7.1,4710,3623,1192,2030.0,3969,4317,2184,40353,49.3
"Shackelford County, Texas: Summary level: 050, state:48> county:417",1504,84,1588,5.3,2247,1164,420,659.0,1750,1546,632,46935,43.0
"Starr County, Texas: Summary level: 050, state:48> county:427",22056,3775,25831,14.6,16188,27352,22087,10560.0,31183,32895,7196,30387,28.8
"Upton County, Texas: Summary level: 050, state:48> county:461",1428,78,1506,5.2,2530,999,405,321.0,1901,1758,611,52171,39.6
"Brown County, Texas: Summary level: 050, state:48> county:049",16369,713,17082,4.2,23172,13878,5319,5999.0,18681,19174,7388,48365,41.5
"Hall County, Texas: Summary level: 050, state:48> county:191",1239,141,1380,10.2,1330,1317,729,560.0,1534,1514,681,34673,44.6
"Franklin County, Texas: Summary level: 050, state:48> county:159",4798,326,5124,6.4,6673,4028,1495,1913.0,5245,5471,2324,53783,43.2
"Frio County, Texas: Summary level: 050, state:48> county:163",6634,478,7112,6.7,7260,6095,3375,2594.0,11883,7988,2468,46729,31.2
"Lampasas County, Texas: Summary level: 050, state:48> county:281",8951,634,9585,6.6,14747,7496,2679,4268.0,10426,10436,3914,60772,43.1
"Orleans County, Vermont: Summary level: 050, state:50> county:019",12629,553,13182,4.2,15297,14305,929,4413.0,13512,13389,5947,49168,45.8
